Name,Symbol,CNMMN/CNMNC approved formula (unless marked in blue),IMA Status,Kretz (1998),Siivolam & Schmid (2007),Whitney & Evans (2010),Can. Min. (2019),Warr (2020),Symbol rule (1-4),Notes,new/adopted symbol,,blue formula taken from publlished literature,,
Dresserite,Dsr,Ba2Al4(CO3)4(OH)8·3H2O,A,,,,,,3,,new symbol,,,,
Dreyerite,Dye,Bi(VO4),A,,,,,,2,,new symbol,,,,
Dritsite ,Drt,Li2Al4(OH)12Cl2∙3H2O,A,,,,,,2,,new symbol,,,,
Drobecite,Dro,Cd(SO4)·4H2O,A,,,,,,1,,new symbol,,,,
Droninoite,Dr,Ni6Fe3+2Cl2(OH)16·4H2O,A,,,,,,1,,new symbol,,,,
Drugmanite,Dru,Pb2Fe3+(PO4)(PO3OH)(OH)2,A,,,,,,1,,new symbol,,,,
Drysdallite,Dry,MoSe2,A,,,,,,1,,new symbol,,,,
Dualite,Dua,"Na30(Ca,Na,Ce,Sr)12(Na,Mn,Fe,Ti)6Zr3Ti3MnSi51  O144(OH,H2O,Cl)9",A,,,,,,1,,new symbol,,,,
Dufrénite,Dfr,Ca0.5Fe2+Fe3+5(PO4)4(OH)6·2H2O,G,,,,Dfr,,2,, adopted symbol,,,,
Dufrénoysite,Duf,Pb2As2S5,G,,,,Duf,,1,, adopted symbol,,,,
Duftite,Dft,PbCu(AsO4)(OH),G,,,,,,2,,new symbol,,,,
Dugganite,Dug,Pb3Zn3(TeO6)(AsO4)2,A,,,,,,1,,new symbol,,,,
Dukeite,Duk,Bi3+24Cr6+8O57(OH)6·3H2O,A,,,,,,1,,new symbol,,,,
Dumontite,Dmt,Pb2(UO2)3O2(PO4)2·5H2O,G,,,,,,3,,new symbol,,,,
Dumortierite,Dum,AlAl6BSi3O18,Rd,,,Dum,Dum,,1,, adopted symbol,,,,
Dundasite,Dun,PbAl2(CO3)2(OH)4·H2O,G,,,,,,1,,new symbol,,,,
Durangite,Dur,NaAl(AsO4)F,G,,,,,,1,,new symbol,,,,
Duranusite,Du,As4S,A,,,,Du,,1,, adopted symbol,,,,
Dusmatovite,Dus,KK2Mn2(Zn2LiSi12)O30,A,,,,Dus,,1,, adopted symbol,,,,
Dussertite,Dst,BaFe3+3(AsO4)(AsO3OH)(OH)6,Rd,,,,,,3,,new symbol,,,,
Dutkevichite-(Ce) ,Dut-Ce,NaZnBa2Ce2Ti2Si8O26F·H2O,A,,,,,,1,,new symbol,,,,
Dutrowite ,Dtw,Na(Fe2+2.5Ti0.5)Al6(Si6O18)(BO3)3(OH)3O,A,,,,,,3,,new symbol,,,,
Duttonite,Dtn,V4+O(OH)2,G,,,,,,3,,new symbol,,,,
Dwornikite,Dwo,Ni(SO4)·H2O,A,,,,,,1,,new symbol,,,,
Dymkovite,Dym,Ni(UO2)2(As3+O3)2·7H2O,A,,,,,,1,,new symbol,,,,
Dypingite,Dyp,Mg5(CO3)4(OH)2·5H2O,A,,,,,,1,,new symbol,,,,
Dyrnaesite-(La),Dyr-La,"Na8Ce4+(La,REE)2(PO4)6",A,,,,,,1,,new symbol,,,,
Dyscrasite,Dys,Ag3+xSb1-x (x ≈ 0.2),G,,,,,,1,,new symbol,,,,
Dzhalindite,Dz,In(OH)3,A,,,,,,1,,new symbol,,,,
Dzharkenite,Dzh,FeSe2,A,,,,,,1,,new symbol,,,,
Dzhuluite,Dzl,Ca3(SbSn)(Fe3+O4)3,Rn,,,,,,2,,new symbol,,,,
Dzierżanowskite,Dża,CaCu2S2,A,,,,,,2,,new symbol,,,,
Eakerite,Ea,Ca2Sn4+Al2Si6O18(OH)2·2H2O,A,,,,,,1,,new symbol,,,,
Earlandite,Ear,Ca3(C6H5O7)2·4H2O,G,,,,,,1,,new symbol,,,,
Earlshannonite,Esn,Mn2+Fe3+2(PO4)2(OH)2·4H2O,A,,,,,,3,,new symbol,,,,
Eastonite,Eas,KAlMg2(Si2Al2)O10(OH)2,Rd,,,Eas,Eas,Eas,1,, adopted symbol,,,,
Ecandrewsite,Ec,ZnTiO3,A,,,Ec,Ecn,,1,, adopted symbol,,,,
Ecdemite,Ecd,Pb6As3+2O7Cl4,G,,,,,,1,,new symbol,,,,
Eckerite,Ekr,Ag2CuAsS3,A,,,,,,3,,new symbol,,,,
Eckermannite,Eck,NaNa2(Mg4Al)Si8O22(OH)2,A,Eck,Eck,Eck,Eck,,1,, adopted symbol,,,,
Eckhardite,Ehd,"(Ca,Pb)Cu2+Te6+O5(H2O)",A,,,,,,3,,new symbol,,,,
Eclarite,Ecl,"(Cu,Fe)Pb9Bi12S28",A,,,,Ecl,,1,, adopted symbol,,,,
Écrinsite ,Écr,AgTl3Pb4As11Sb9S36,A,,,,,,1,,new symbol,,,,
Eddavidite,Edv,Pb2Cu12O15Br2,A,,,,,,3,,new symbol,,,,
Edenharterite,Eht,TlPbAs3S6,A,,,,,,3,,new symbol,,,,
Edenite,Ed,NaCa2Mg5(Si7Al)O22(OH)2,Rd,Ed,Est,Ed,Ed,,1,, adopted symbol,,,,
Edgarbaileyite,Ebl,Hg1+6Si2O7,A,,,,,,3,,new symbol,,,,
Edgarite,Edg,FeNb3S6,A,,,,,,1,,new symbol,,,,
Edgrewite,Egr,Ca9(SiO4)4F2,A,,,,,,2,,new symbol,,,,
Edingtonite,Edi,Ba(Si3Al2)O10·4H2O,G,,,,,,1,,new symbol,,,,
Edoylerite,Eoy,Hg2+3(Cr6+O4)S2,A,,,,,,1,,new symbol,,,,
Edscottite,Est,Fe5C2,A,,,,,,3,,new symbol,,,,
Edtollite,Edt,K2NaCu5Fe3+O2(AsO4)4,A,,,,,,1,,new symbol,,,,
Edwardsite,Edw,Cu3Cd2(SO4)2(OH)6·4H2O,A,,,,,,1,,new symbol,,,,
Effenbergerite,Efb,BaCuSi4O10,A,,,,,,2,,new symbol,,,,
Efremovite,Efr,(NH4)2Mg2(SO4)3,A,,,,,,1,,new symbol,,,,
Eggletonite,Egg,"(Na,K,Ca)xMn6(Si,Al)10O24(OH)4·nH2O (x = 1-2; n = 7-11",,,,,,Egg,1,, adopted symbol,,,,
Eglestonite,Egl,([Hg1+]2)3OCl3(OH),G,,,,,,1,,new symbol,,,,
Ehrleite,Ehr,Ca2ZnBe(PO4)2(PO3OH)·4H2O,A,,,,,,1,,new symbol,,,,
Eifelite,Eif,KNa2(MgNa)(Mg3Si12)O30,A,,,,,,1,,new symbol,,,,
Eirikite,Eir,KNa6Be2(Si15Al3)O39F2,A,,,,,,1,,new symbol,,,,
Eitelite,Eit,Na2Mg(CO3)2,G,,,,,,1,,new symbol,,,,
Ekanite,Ek,Ca2ThSi8O20,A,,,,,,1,,new symbol,,,,
Ekaterinite,Eka,Ca2B4O7Cl2·2H2O,A,,,,,,1,,new symbol,,,,
Ekatite,Ekt,"(Fe3+,Fe2+,Zn)12(AsO3)6(AsO3,SiO3OH)2(OH)6",A,,,,,,2,,new symbol,,,,
Ekebergite,Ekb,ThFeNb2O8,A,,,,,,2,,new symbol,,,,
Ekplexite,Ekp,"(Nb,Mo)S2·(Mg1-xAlx)(OH)2+x",A,,,,,,3,,new symbol,,,,
Elasmochloite,Ela,Na3Cu6BiO4(SO4)5,A,,,,,,1,,new symbol,,,,
Elbaite,Elb,Na(Al1.5Li1.5)Al6(Si6O18)(BO3)3(OH)3(OH),G,Elb,Elb,Elb,Elb,,1,, adopted symbol,,,,
Elbrusite,Ebs,Ca3(U6+0.5Zr1.5)(Fe3+O4)3,Rn,,,,,,3,,new symbol,,,,
Eldfellite,Edf,NaFe3+(SO4)2,A,,,,,,2,,new symbol,,,,
Eldragónite,Eld,Cu6BiSe4(Se2),A,,,,Eld,,1,, adopted symbol,,,,
Eleomelanite,Elm,(K2Pb)Cu4O2(SO4)4,A,,,,,,2,,new symbol,,,,
Eleonorite,Eln,Fe3+6(PO4)4O(OH)4·6H2O,A,,,,,,2,,new symbol,,,,
Elgoresyite,Ego,(Mg5Si2)O9,A,,,,,,2,,new symbol,,,,
Eliopoulosite ,Epo,V7S8,A,,,,,,2,,new symbol,,,,
Eliseevite,Esv,Na1.5Li{Ti2O2[Si4O10.5(OH)1.5]}·2H2O,A,,,,,,3,,new symbol,,,,
Ellenbergerite,Ell,"Mg6(Mg,Ti,Zr,܆)2(Al,Mg)6Si8O28(OH)10",A,,,Ell,Ell,,1,, adopted symbol,,,,
Ellinaite ,El,CaCr2O4,A,,,,,,1,,new symbol,,,,
Ellingsenite,Elg,Na5Ca6Si18O38(OH)13·6H2O,A,,,,,,2,,new symbol,,,,
Ellisite,Els,Tl3AsS3,A,,,,,,3,,new symbol,,,,
Elpasolite,Elp,K2NaAlF6,G,,,,,,1,,new symbol,,,,
Elpidite,Epd,Na2ZrSi6O15·3H2O,G,,,,,,3,,new symbol,,,,
Eltyubyuite,Elt,Ca12Fe3+10Si4O32Cl6,A,,,,,,1,,new symbol,,,,
Elyite,Ely,CuPb4(SO4)O2(OH)4·H2O,A,,,,,,1,,new symbol,,,,
Embreyite,Emb,Pb5(CrO4)2(PO4)2·H2O,A,,,,,,1,,new symbol,,,,
Emeleusite,Eme,Na2LiFe3+Si6O15,A,,,,,,1,,new symbol,,,,
Emilite,Emi,Cu10.7Pb10.7Bi21.3S48,A,,,,,,1,,new symbol,,,,
Emmerichite,Emr,Ba2Ti2Na3Fe3+(Si2O7)2O2F2,Rd,,,,,,2,,new symbol,,,,
Emmonsite,Ems,Fe3+2(Te4+O3)3·2H2O,G,,,,,,3,,new symbol,,,,
Emplectite,Emp,CuBiS2,G,,,,Emp,,1,, adopted symbol,,,,
Empressite,Eps,AgTe,Rd,,,,,,3,,new symbol,,,,
Enargite,Eng,Cu3AsS4,G,,,Eng,Eng,,2,, adopted symbol,,,,
Engelhauptite,Egh,KCu3(V2O7)(OH)2Cl,A,,,,,,3,,new symbol,,,,
Englishite,Egs,K3Na2Ca10Al15(OH)7(PO4)21·26H2O,G,,,,,,3,,new symbol,,,,
Enneasartorite ,Esat,Tl6Pb32As70S140,A,,,,,,4,Sat = sartorite,new symbol,,,,
Enstatite,En,Mg2Si2O6,A,En,En,En,En,,1,, adopted symbol,,,,
Eosphorite,Eos,Mn2+Al(PO4)(OH)2·H2O,G,,,,Eos,,1,, adopted symbol,,,,
Ephesite,Eph,NaLiAl2(Si2Al2)O10(OH)2,A,,,,,Eph,1,, adopted symbol,,,,
Epididymite,Edd,Na2Be2Si6O15·H2O,G,,,,,,3,,new symbol,,,,
Epidote,Ep,Ca2(Al2Fe3+)[Si2O7][SiO4]O(OH),G,Ep,Ep,Ep,Ep,Ep,1,, adopted symbol,,,,
Epidote-(Sr),Ep-Sr,CaSr(Al2Fe3+)[Si2O7][SiO4]O(OH),A,,,,,,1,,new symbol,,,,
Epifanovite ,Efv,NaCaCu5(PO4)4[AsO2(OH)2]·7H2O,A,,,,,,3,,new symbol,,,,
Epistilbite,Estb,Ca3[Si18Al6O48]·16H2O,A,,,,,,4,Stb = stilbite,new symbol,,,,
Epistolite,Epi,(Na܆)Nb2Na3Ti(Si2O7)2O2(OH)2(H2O)4,Rd,,,,,,1,,new symbol,,,,
Epsomite,Esm,Mg(SO4)·7H2O,G,,,,,,3,,new symbol,,,,
Erazoite,Erz,Cu4SnS6,A,,,,,,2,,new symbol,,,,
Ercitite,Erc,NaMn3+(PO4)(OH)·2H2O,A,,,,,,1,,new symbol,,,,
Erdite,Erd,NaFeS2·2H2O,A,,,,,,1,,new symbol,,,,
Ericaite,Eic,Fe2+3B7O13Cl,G,,,,,,2,,new symbol,,,,
Ericlaxmanite,Elx,Cu4O(AsO4)2 ,A,,,,,,2,,new symbol,,,,
Ericssonite,Ers,BaMn2+2Fe3+(Si2O7)O(OH),Rd,,,,,,2,,new symbol,,,,
Erikapohlite,Erk,"Cu2+3(Zn,Cu,Mg)4Ca2(AsO4)6·2H2O",A,,,,,,2,,new symbol,,,,
Erikjonssonite ,Ejs,"(Pb32O21)[(V,Si,Mo,As)O4]4Cl9",A,,,,,,3,,new symbol,,,,
Eringaite,Erg,Ca3Sc2(SiO4)3,A,,,,,,2,,new symbol,,,,
Eriochalcite,Ech,CuCl2·2H2O,G,,,,,,3,,new symbol,,,,
Erionite-Ca,Eri-Ca,Ca5[Si26Al10O72]·30H2O,A,,,Eri,,Eri,1,, adopted symbol,,,,
Erionite-K,Eri-K,K10[Si26Al10O72]·30H2O,A,,,Eri,,Eri,1,, adopted symbol,,,,
Erionite-Na,Eri-Na,Na10[Si26Al10O72]·30H2O,Rn,,,Eri,,Eri,1,, adopted symbol,,,,
Erlianite,Ern,Fe2+4Fe3+2Si6O15(OH)8,A,,,,,,2,,new symbol,,,,
Erlichmanite,Erl,OsS2,A,,,,Erl,,1,, adopted symbol,,,,
Ermakovite,Ekv,(NH4)(As2O3)2Br,A,,,,,,3,,new symbol,,,,
Ernienickelite,Enk,NiMn4+3O7·3H2O,A,,,,,,3,,new symbol,,,,
Erniggliite,Eni,Tl2SnAs2S6,A,,,,,,2,,new symbol,,,,
Ernstburkeite,Ebu,Mg(CH3SO3)2·12H2O,A,,,,,,2,,new symbol,,,,
Ernstite,Ens,"(Mn2+,Fe3+)Al(PO4)(OH,O)2",A,,,,,,2,,new symbol,,,,
Ershovite,Esh,"K3Na4(Fe,Mn,Ti)2Si8O20(OH,O)4·4H2O",A,,,,,,2,,new symbol,,,,
Ertixiite,Ert,Na2Si4O9,A,,,,,,1,,new symbol,,,,
Erythrite,Ery,Co3(AsO4)2·8H2O,G,,,,,,1,,new symbol,,,,
Erythrosiderite,Esd,K2Fe3+Cl5·H2O,G,,,,,,4,Sd = siderite,new symbol,,,,
Erzwiesite,Ezw,Ag8Pb12Bi16S40,A,,,,,,2,,new symbol,,,,
Escheite,Esc,Ca2NaMnTi5[Si12O34]O2(OH)3·12H2O,A,,,,Es,,1,Es is symbol for einsteinium, adopted symbol,,,,
Esdanaite-(Ce),Edn-Ce,NaMnCe(PO4)2∙4H2O,A,,,,,,3,,new symbol,,,,
Eskebornite,Ebn,CuFeSe2,G,,,,,,4,Bn = bornite,new symbol,,,,
Eskimoite,Ekm,Ag7Pb10Bi15S36,A,,,,,,3,,new symbol,,,,
Eskolaite,Esk,Cr2O3,G,,,Esk,,,1,, adopted symbol,,,,
Espadaite,Esp,Na4Ca3Mg2[AsO3(OH)]2[AsO2(OH)2]10(H2O)6·H2O,A,,,,,,1,,new symbol,,,,
Esperanzaite,Epz,NaCa2Al2(AsO4)2F4(OH)·2H2O,A,,,,,,3,,new symbol,,,,
Esperite,Epr,PbCa2(ZnSiO4)3,A,,,,,,3,,new symbol,,,,
Esquireite,Esq,BaSi6O13∙7H2O,A,,,,,,1,,new symbol,,,,
Esseneite,Ess,CaFe3+AlSiO6,A,,,Ess,Ess,,1,, adopted symbol,,,,
Ettringite,Ett,Ca6Al2(SO4)3(OH)12·26H2O,A,,,,,,1,,new symbol,,,,
Eucairite,Eca,CuAgSe,G,,,,Euc,,2,,new symbol,,,,
Euchlorine,Ecr,KNaCu3O(SO4)3,G,,,,,,3,,new symbol,,,,
Euchroite,Euc,Cu2(AsO4)(OH)·3H2O,G,,,,,,1,,new symbol,,,,
Euclase,Ecs,BeAlSiO4(OH),G,,,,Ecl,,2,Ecl is Eclarite,new symbol,,,,
Eucryptite,Ecp,LiAlSiO4,G,,,,Ecr,,2,,new symbol,,,,
Eudialyte,Eud,"Na15Ca6Fe3Zr3Si(Si25O73)(O,OH,H2O)3(Cl,OH)2",A,,,Eud,Eud,,1,, adopted symbol,,,,
Eudidymite,Edy,Na2Be2Si6O15·H2O,G,,,,,,2,,new symbol,,,,
Eugenite,Eug,Ag11Hg2,A,,,,,,1,,new symbol,,,,
Eugsterite,Egt,Na4Ca(SO4)3·2H2O,A,,,,,,3,,new symbol,,,,
Eulytine,Eul,Bi4(SiO4)3,G,,,,,,1,,new symbol,,,,
Eurekadumpite,Eur,"(Cu,Zn)16(Te4+O3)2(AsO4)3Cl(OH)18·7H2O",A,,,,,,1,,new symbol,,,,
Euxenite-(Y),Eux-Y,"(Y,Ca,Ce,U,Th)(Nb,Ta,Ti)2O6",Rn,,,,,,1,,new symbol,,,,
Evansite,Evn,Al3(PO4)(OH)6·8H2O,G,,,,,,2,,new symbol,,,,
Evdokimovite,Evd,Tl4(VO)3(SO4)5(H2O)5,A,,,,,,1,,new symbol,,,,
Eveite,Ev,Mn2+2(AsO4)(OH),A,,,,,,1,,new symbol,,,,
Evenkite,Evk,C23H48,G,,,,,,2,,new symbol,,,,
Eveslogite,Evl,"(Ca,K,Na,Sr,Ba)48(Ti,Nb,Fe,Mn)12(OH)12Si48O144 (OH,F,Cl)14",A,,,,,,2,,new symbol,,,,
Evseevite ,Evs,Na2Mg(AsO4)F,A,,,,,,1,,new symbol,,,,
Ewaldite,Ew,"Ba(Na,Ca,Y,Ce,K)(CO3)2·2.6H2O",A,,,,,,1,,new symbol,,,,
Ewingite,Ewg,Mg8Ca8(UO2)24(CO3)30O4(OH)12(H2O)138,A,,,,,,1,,new symbol,,,,
Eylettersite,Eyl,Th0.75Al3(PO4)2(OH)6,A,,,,,,1,,new symbol,,,,
Eyselite,Eys,Fe3+Ge4+3O7(OH),A,,,,,,1,,new symbol,,,,
Ezcurrite,Ezc,Na2B5O7(OH)3·2H2O,G,,,,,,1,,new symbol,,,,
Eztlite,Ez,Pb2Fe3+3(Te4+O3)3(SO4)O2Cl,Rd,,,,,,1,,new symbol,,,,
Fabianite,Fbn,CaB3O5(OH),A,,,,,,3,,new symbol,,,,
Fabrièsite,Fab,Na3Al3Si3O12·2H2O,Rn,,,,Fab,,1,, adopted symbol,,,,
Faheyite,Fah,Be2Mn2+Fe3+2(PO4)4·6H2O,G,,,,,,1,,new symbol,,,,
Fahleite,Fhl,CaZn5Fe3+2(AsO4)6·14H2O,A,,,,,,2,,new symbol,,,,
Fairbankite,Fbk,Pb2+12(Te4+O3)11(SO4),Rd,,,,,,3,,new symbol,,,,
Fairchildite,Fch,K2Ca(CO3)2,G,,,,,,2,,new symbol,,,,
Fairfieldite,Ffd,Ca2Mn2+(PO4)2·2H2O,G,,,,,Ffd,3,, adopted symbol,,,,
Faizievite,Fai,Li6K2Na(Ca6Na)Ti4(Si6O18)2(Si12O30)F2,A,,,,,,1,,new symbol,,,,
Falcondoite,Fcd,Ni4Si6O15(OH)2·6H2O,A,,,,,Fcd,3,, adopted symbol,,,,
Falgarite ,Fal,K4(VO)3(SO4)5,A,,,,,,1,,new symbol,,,,
Falkmanite,Fmn,Pb3Sb2S6,G,,,,,,3,,new symbol,,,,
Falottaite,Flt,MnC2O4·3H2O,A,,,,,,3,,new symbol,,,,
Falsterite,Fls,Ca2MgMn2+2Fe2+2Fe3+2Zn4(PO4)8(OH)4(H2O)14,A,,,,,,2,,new symbol,,,,
Famatinite,Fam,Cu3SbS4,G,,,,Fam,,1,, adopted symbol,,,,
Fanfaniite,Ffa,Ca4Mn2+Al4(PO4)6(OH)4·12H2O,A,,,,,,2,,new symbol,,,,
Fangite,Fg,Tl3AsS4,A,,,,,,1,,new symbol,,,,
Fantappièite,Ftp,[Na82.5Ca33K16.5]Σ=132(Si99Al99O396)(SO4)33·6H2O,A,,,,,,3,,new symbol,,,,
Farneseite,Far,Na46Ca10(Si42Al42O168)(SO4)12·6H2O,A,,,,,,1,,new symbol,,,,
Farringtonite,Frt,Mg3(PO4)2,A,,,,,,2,,new symbol,,,,
Fassinaite,Fas,Pb2(CO3)(S2O3),A,,,,,,1,,new symbol,,,,
Faujasite-Ca,Fau-Ca,"(Ca,Na,Mg)2(Si,Al)12O24·15H2O",A,,,,,,1,,new symbol,,,,
Faujasite-Mg,Fau-Mg,"(Mg,Na,K,Ca)2(Si,Al)12O24·15H2O",A,,,,,,1,,new symbol,,,,
Faujasite-Na,Fau-Na,"(Na,Ca,Mg)2(Si,Al)12O24·15H2O",Rn,,,,,,1,,new symbol,,,,
Faustite,Fst,ZnAl6(PO4)4(OH)8·4H2O,G,,,,,,2,,new symbol,,,,
Favreauite,Fav,PbBiCu6O4(SeO3)4(OH)·H2O,A,,,,,,1,,new symbol,,,,
Fayalite,Fa,Fe2+2(SiO4),G,Fa,Fa,Fa,Fa,,1,, adopted symbol,,,,
Fedorite,Fdr,"(K,Na)2.5(Ca,Na)7Si16O38(OH,F)2·3.5H2O",A,,,,,Fdr,3,, adopted symbol,,,,
Fedorovskite,Fdo,Ca2Mg2B4O7(OH)6,A,,,,,,2,,new symbol,,,,
Fedotovite,Fdt,K2Cu3O(SO4)3,A,,,,,,3,,new symbol,,,,
Fehrite,Feh,MgCu4(SO4)2(OH)6∙6H2O,A,,,,,,1,,new symbol,,,,
Feiite ,Fei,Fe2+2(Fe2+Ti4+)O5,A,,,,,,1,,new symbol,,,,
Feinglosite,Fgl,Pb2Zn(AsO4)2·H2O,A,,,,,,2,,new symbol,,,,
Feitknechtite,Fkn,Mn3+O(OH),A,,,,,Fkn,2,, adopted symbol,,,,
Feklichevite,Fek,"Na11Ca9(Fe3+,Fe2+)2Zr3Nb(Si25O73)(OH,H2O,Cl,O)5",A,,,,,,1,,new symbol,,,,
Felbertalite,Fbt,Cu2Pb6Bi8S19,A,,,,,,3,,new symbol,,,,
Felsőbányaite,Fsb,Al4(SO4)(OH)10·4H2O,G,,,,,,3,,new symbol,,,,
Feldspar,Fsp, (KAlSi3O8 – NaAlSi3O8 – CaAl2Si2O8) ,GROUP,,Fsp,Fsp,,,2,, adopted symbol,,,,
Fenaksite,Fnk,KNaFe2+Si4O10,A,,,,,,3,,new symbol,,,,
Fencooperite,Fco,Ba6Fe3+3Si8O23(CO3)2Cl3·H2O,A,,,,,,2,,new symbol,,,,
Fengchengite,Fcg,Na12܆3Ca6Fe3+3Zr3Si(Si25O73)(H2O)3(OH)2,A,,,,,,3,,new symbol,,,,
Feodosiyite ,Fdy,Cu11Mg2Cl18(OH)8·16H2O,A,,,,,,3,,new symbol,,,,
Ferberite,Feb,Fe2+(WO4),G,,,,Fbr,,2,,new symbol,,,,
Ferchromide,Fcr,Cr1.5Fe0.2,A,,,,,,2,,new symbol,,,,
Ferdowsiite,Fdw,Ag8(Sb5As3)S16,A,,,,,,2,,new symbol,,,,
Fergusonite-(Ce),Fgs-Ce,CeNbO4·0.3H2O,Q,,,,Fgs,,3,, adopted symbol,,,,
Fergusonite-(Ce)-β,Fgs-Ce-β,CeNbO4,Rn,,,,Fgs,,3,, adopted symbol,,,,
Fergusonite-(Nd)-β,Fgs-Nd-β,NdNbO4,A,,,,Fgs,,3,, adopted symbol,,,,
Fergusonite-(Y),Fgs-Y,YNbO4,Rn,,,,Fgs,,3,, adopted symbol,,,,
Fergusonite-(Y)-β,Fgs-Y-β,YNbO4,Rn,,,,Fgs,,3,, adopted symbol,,,,
Ferhodsite,Frh,"(Fe,Rh,Ni,Ir,Cu,Co,Pt)9-xS8",A,,,,Frh,,2,, adopted symbol,,,,
Fermiite,Fmi,Na4(UO2)(SO4)3∙3H2O,A,,,,,,2,,new symbol,,,,
Fernandinite,Frn,"(Ca,Na,K)0.9(V5+,V4+,Fe2+,Ti)8O20·4H2O",Rd,,,,,,2,,new symbol,,,,
Feroxyhyte,Fox,Fe3+O(OH),A,,,,,,2,,new symbol,,,,
Ferraioloite,Frl,MgMn2+4(Fe2+0.5Al0.5)4Zn4(PO4)8(OH)4(H2O)20,A,,,,,,3,,new symbol,,,,
Ferrarisite,Fer,Ca5(AsO3OH)2(AsO4)2·9H2O,A,,,,,,1,,new symbol,,,,
Ferriakasakaite-(Ce),Fak-Ce,CaCeFe3+AlMn2+(Si2O7)(SiO4)O(OH),A,,,,,,2,,new symbol,,,,
Ferriakasakaite-(La),Fak-La,CaLa(Fe3+AlMn2+)[Si2O7][SiO4]O(OH),A,,,,,,2,,new symbol,,,,
Ferriallanite-(Ce),Faln-Ce,CaCe(Fe3+AlFe2+)[Si2O7][SiO4]O(OH),A,,,,Faln,,4,Aln = allanite, adopted symbol,,,,
Ferriallanite-(La),Faln-La,CaLa(Fe3+AlFe2+)[Si2O7][SiO4]O(OH),A,,,,Faln,,4,Aln = allanite, adopted symbol,,,,
Ferriandrosite-(La),Fea-La,MnLa(Fe3+AlMn2+)[Si2O7][SiO4]O(OH),A,,,,,,2,,new symbol,,,,
Ferribushmakinite,Fbmk,Pb2Fe3+(PO4)(VO4)(OH) ,A,,,,,,4,Bmk = bushmakinite,new symbol,,,,
Ferricerite-(La),Fecrt-La,"(La,Ce,Ca)9Fe3+(SiO4 )3 (SiO3OH)4(OH)3",Rn,,,,,,4,Crt = cerite,new symbol,,,,
Ferricopiapite,Fcpi,Fe3+0.67Fe3+4(SO4)6(OH)2·20H2O,G,,,,,,4,Cpi = copiapite,new symbol,,,,
Ferricoronadite,Fcor,Pb(Mn4+6Fe3+2)O16,A,,,,,,4,Cor = coronadite,new symbol,,,,
Ferrierite-K,Frr-K,"(K,Na)5(Si31Al5)O72·18H2O",A,,,,,,2,,new symbol,,,,
Ferrierite-Mg,Frr-Mg,"[Mg2(K,Na)2Ca0.5](Si29Al7)O72·18H2O",Rn,,,,,,2,,new symbol,,,,
Ferrierite-Na,Frr-Na,"(Na,K)5(Si31Al5)O72·18H2O",A,,,,,,2,,new symbol,,,,
Ferrierite-NH4 ,Frr-NH4,"(NH4,Mg0.5)5(Al5Si31O72)·22H2O",A,,,,,,2,,new symbol,,,,
Ferri-fluoro-katophorite,Fflktp,Na(NaCa)(Mg4Fe3+)(Si7Al)O22F2,A,,,,,,4,Ktp =katophorite,new symbol,,,,
Ferri-fluoro-leakeite,Ffllk,NaNa2(Mg2Fe3+2Li)Si8O22F2,Rd,,,,,,3,,new symbol,,,,
Ferri-ghoseite,Fgh,܆(NaMn2+)(Mg4Fe3+)Si8O22(OH)2,Rd,,,,,,2,,new symbol,,,,
Ferri-hellandite-(Ce),Fhld-Ce,(Ca3Ce)Ce2Fe3+☐2B4Si4O22(OH)2,A,,,,,,4,Hld = hellandite,new symbol,,,,
Ferrihollandite,Fhol,Ba(Mn4+6Fe3+2)O16,A,,,,,Fhol,4,Hol = hollandite, adopted symbol,,,,
Ferrihydrite,Fhy,Fe3+10O14(OH)2,A,,,,,Fhy,2,, adopted symbol,,,,
Ferri-kaersutite,Fkrs,NaCa2(Mg3Fe3+Ti)(Si6Al2)O22O2,A,,,Fkrs,,,4,Krs = kaersutite, adopted symbol,,,,
Ferri-katophorite,Fktp,Na(NaCa)(Mg4Fe3+)(Si7Al)O22(OH)2,Rd,,,,,,4,Ktp =katophorite,new symbol,,,,
Ferri-leakeite,Flk,NaNa2(Mg2Fe3+2Li)Si8O22(OH)2,Rd,,,,,,3,,new symbol,,,,
Ferrilotharmeyerite,Flmy,CaZnFe3+(AsO4)2(OH)·H2O,A,,,,,,4,Lmy = lotharmeyerite,new symbol,,,,
Ferrimolybdite,Fmyb,Fe3+2(Mo6+O4)3·7H2O,G,,,,,,4,Myb= molybdite,new symbol,,,,
Ferri-mottanaite-(Ce) ,Fmot-Ce,Ca4Ce2Fe3+(Be1.5܆0.5)[Si4B4O22]O2,A,,,,,,4,Mot = mottanaite,new symbol,,,,
Ferrinatrite,Fnat,Na3Fe3+(SO4)3·3H2O,G,,,,,,4,Nat = natrite,new symbol,,,,
Ferri-obertiite,Fob,NaNa2(Mg3Fe3+Ti)Si8O22O2,A,,,,,,2,,new symbol,,,,
Ferri-pedrizite,Fpd,NaLi2(Mg2Fe3+2Li)Si8O22(OH)2,Rd,,,,,,2,,new symbol,,,,
Ferriperbøeite-(Ce),Fpbø-Ce,(CaCe3)(Fe3+Al2Fe2+)(Si2O7)(SiO4)3O(OH)2,A,,,,,,4,Pbø = perbøeite,new symbol,,,,
