Name,Symbol,CNMMN/CNMNC approved formula (unless marked in blue),IMA Status,Kretz (1998),Siivolam & Schmid (2007),Whitney & Evans (2010),Can. Min. (2019),Warr (2020),Symbol rule (1-4),Notes,new/adopted symbol,,blue formula taken from publlished literature,,
Ahlfeldite,Afe,Ni(SeO3)·2H2O,G,,,,,,2,,new symbol,,,silite,"s, si"
Ahrensite,Ahr,SiFe2O4,A,,,,,,1,,new symbol,,,sphaerite,s
Aikinite,Aik,CuPbBiS3,G,,,,Aik,,1,, adopted symbol,,,stibite,sb
Aiolosite,Aio,Na2(Na2Bi)(SO4)3Cl,A,,,,,,1,,new symbol,,,strophite,str
Airdite,Air,Sr(V4+O)2(PO4)2·4H2O,A,,,,,,1,,new symbol,,,taaffeite,tf
Ajoite,Aj,K3Cu2+20Al3Si29O76(OH)16·8H2O,A,,,,,,1,,new symbol,,,thallite,th
Akaganeite,Akg,"(Fe3+,Ni2+)8(OH,O)16Cl1.25·nH2O",Rn,,,,Akg,,2,, adopted symbol,,,thalite,th
Akaogiite,Aka,TiO2,A,,,,,,1,,new symbol,,,thionite,tn
Akatoreite,Akt,Mn2+9Al2Si8O24(OH)8,A,,,,,,2,,new symbol,,,tsilaisite,tsi
Akdalaite,Akd,Al10O14(OH)2,A,,,,,,1,,new symbol,,,uranoite,"u, un"
Åkermanite,Åk,Ca2MgSi2O7,G,Ak,Ak,Ak,Ak,,1,, adopted symbol,,,ursilite,ur
Akhtenskite,Akh,MnO2,A,,,,,,1,,new symbol,,,uranylite,uy
Akimotoite,Aki,MgSiO3,A,,,,,,1,,new symbol,,,woodite,wd
Aklimaite,Akm,Ca4[Si2O5(OH)2](OH)4·5H2O,A,,,,,,2,,new symbol,,,,
Akopovaite,Av,Li2Al4(OH)12(CO3)(H2O)3,A,,,,,,3,,new symbol,,,,
Akrochordite,Akr,Mn2+5(AsO4)2(OH)4·4H2O,G,,,,,,1,,new symbol,,,,
Aksaite,Aks,MgB6O7(OH)6·2H2O,A,,,,,,1,,new symbol,,,,
Aktashite,Ats,Cu6Hg3As4S12,Rd,,,,,,3,,new symbol,,,,
Alabandite,Abd,MnS,G,,,,Ala,,3,,new symbol,,,,
Alacránite,Acr,As8S9,Rn,,,,,,2,,new symbol,,,,
Alamosite,Aam,PbSiO3,G,,,,,,2,,new symbol,,,,
Alarsite,Ars,Al(AsO4),A,,,,,,2,,new symbol,,,,
Albertiniite,Abt,Fe2+(SO3)·3H2O,A,,,,,,3,,new symbol,,,,
Albite,Ab,Na(AlSi3O8),G,Ab,Ab,Ab,Ab,Ab,3,, adopted symbol,,,,
Albrechtschraufite,Asf,MgCa4F2[UO2(CO3)3]2·17-18H2O,A,,,,,,3,,new symbol,,,,
Alburnite,Alb,Ag8GeTe2S4,A,,,,,,1,,new symbol,,,,
Alcantarillaite,Alc,[Fe3+0.5܆0.5(H2O)4][CaAs3+2(Fe3+2.5W6+0.5)(AsO4)2  O7],A,,,,,,1,,new symbol,,,,
Alcaparrosaite,Apr,K3Ti4+Fe3+(SO4)4O(H2O)2,A,,,,,,3,,new symbol,,,,
Aldermanite,Adm,Mg5Al12(PO4)8(OH)22·32H2O,Rd,,,,,,3,,new symbol,,,,
Aldridgeite,Adg,"(Cd,Ca)(Cu,Zn)4(SO4)2(OH)6·3H2O",A,,,,,,3,,new symbol,,,,
Aleksandrovite,Asd,KCa7Sn2Li3Si12O36F2,A,,,,,,3,,new symbol,,,,
Aleksite,Alk,PbBi2Te2S2,A,,,,,,2,,new symbol,,,,
Aleutite ,Aeu,[Cu5O2](AsO4)(VO4)·(Cu0.5܆0.5)Cl,A,,,,,,2,,new symbol,,,,
Alexkhomyakovite,Akmy,K6(Ca2Na)(CO3)5Cl·6H2O,A,,,,,,4,Kmy = khomyakovite,new symbol,,,,
Alexkuznetsovite-(Ce) ,Axk-Ce,Ce2Mn(CO3)(Si2O7),A,,,,,,2,,new symbol,,,,
Alexkuznetsovite-(La),Axk-La,La2Mn(CO3)(Si2O7),A,,,,,,2,,new symbol,,,,
Alflarsenite,Alf,NaCa2Be3Si4O13(OH)·2H2O,A,,,,,,1,,new symbol,,,,
Alforsite,Afr,Ba5(PO4)3Cl,A,,,,,,2,,new symbol,,,,
Alfredopetrovite,Afd,Al2(Se4+O3)3·6H2O,A,,,,,,3,,new symbol,,,,
